============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260306_131003.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 21864512 / 21864512
Ep 1/200 | Train Loss: 4.2400 | Val Loss: 1.6324 | Test Loss: 1.6324 | Train: 37.4% | Val: 41.7% | Test: 41.7% | Val-Avg10: 41.7% | Val-Best: 41.7%
Ep 2/200 | Train Loss: 1.6743 | Val Loss: 1.3635 | Test Loss: 1.3635 | Train: 47.9% | Val: 50.3% | Test: 50.3% | Val-Avg10: 46.0% | Val-Best: 50.3%
Ep 3/200 | Train Loss: 1.5320 | Val Loss: 1.2398 | Test Loss: 1.2398 | Train: 53.3% | Val: 55.5% | Test: 55.5% | Val-Avg10: 49.2% | Val-Best: 55.5%
Ep 4/200 | Train Loss: 1.4130 | Val Loss: 1.3210 | Test Loss: 1.3210 | Train: 58.3% | Val: 52.3% | Test: 52.3% | Val-Avg10: 49.9% | Val-Best: 55.5%
Ep 5/200 | Train Loss: 1.3278 | Val Loss: 1.1092 | Test Loss: 1.1092 | Train: 61.3% | Val: 61.3% | Test: 61.3% | Val-Avg10: 52.2% | Val-Best: 61.3%
Ep 6/200 | Train Loss: 1.2510 | Val Loss: 1.1040 | Test Loss: 1.1040 | Train: 64.2% | Val: 62.4% | Test: 62.4% | Val-Avg10: 53.9% | Val-Best: 62.4%
Ep 7/200 | Train Loss: 1.1961 | Val Loss: 0.9191 | Test Loss: 0.9191 | Train: 66.0% | Val: 67.0% | Test: 67.0% | Val-Avg10: 55.8% | Val-Best: 67.0%
Ep 8/200 | Train Loss: 1.1437 | Val Loss: 1.0407 | Test Loss: 1.0407 | Train: 68.2% | Val: 63.8% | Test: 63.8% | Val-Avg10: 56.8% | Val-Best: 67.0%
Ep 9/200 | Train Loss: 1.0982 | Val Loss: 0.9605 | Test Loss: 0.9605 | Train: 69.8% | Val: 65.9% | Test: 65.9% | Val-Avg10: 57.8% | Val-Best: 67.0%
Ep 10/200 | Train Loss: 1.0602 | Val Loss: 0.9019 | Test Loss: 0.9019 | Train: 71.4% | Val: 68.4% | Test: 68.4% | Val-Avg10: 58.8% | Val-Best: 68.4%
Ep 11/200 | Train Loss: 1.0285 | Val Loss: 0.8218 | Test Loss: 0.8218 | Train: 72.3% | Val: 71.2% | Test: 71.2% | Val-Avg10: 61.8% | Val-Best: 71.2%
