============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\cifar10_mlp_kanRegWeight0.0_lr0.01_seed42_e200_hiddenDim2048_20260306_102922.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: MLP | Params: 12,244,042

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 12244042 / 12244042
Ep 1/200 | Train Loss: 1.6776 | Val Loss: 2.0819 | Test Loss: 2.0819 | Train: 37.7% | Val: 32.4% | Test: 32.4% | Val-Avg10: 32.4% | Val-Best: 32.4%
Ep 2/200 | Train Loss: 1.3808 | Val Loss: 1.5236 | Test Loss: 1.5236 | Train: 49.8% | Val: 46.1% | Test: 46.1% | Val-Avg10: 39.3% | Val-Best: 46.1%
Ep 3/200 | Train Loss: 1.2265 | Val Loss: 1.4296 | Test Loss: 1.4296 | Train: 55.6% | Val: 48.8% | Test: 48.8% | Val-Avg10: 42.4% | Val-Best: 48.8%
Ep 4/200 | Train Loss: 1.0882 | Val Loss: 1.4050 | Test Loss: 1.4050 | Train: 61.0% | Val: 54.9% | Test: 54.9% | Val-Avg10: 45.5% | Val-Best: 54.9%
Ep 5/200 | Train Loss: 0.9983 | Val Loss: 1.1177 | Test Loss: 1.1177 | Train: 64.4% | Val: 61.6% | Test: 61.6% | Val-Avg10: 48.8% | Val-Best: 61.6%
Ep 6/200 | Train Loss: 0.9260 | Val Loss: 0.9923 | Test Loss: 0.9923 | Train: 67.1% | Val: 66.3% | Test: 66.3% | Val-Avg10: 51.7% | Val-Best: 66.3%
Ep 7/200 | Train Loss: 0.8696 | Val Loss: 0.9721 | Test Loss: 0.9721 | Train: 69.1% | Val: 66.0% | Test: 66.0% | Val-Avg10: 53.7% | Val-Best: 66.3%
Ep 8/200 | Train Loss: 0.8220 | Val Loss: 1.1472 | Test Loss: 1.1472 | Train: 71.0% | Val: 62.3% | Test: 62.3% | Val-Avg10: 54.8% | Val-Best: 66.3%
Ep 9/200 | Train Loss: 0.7826 | Val Loss: 1.0919 | Test Loss: 1.0919 | Train: 72.2% | Val: 64.0% | Test: 64.0% | Val-Avg10: 55.8% | Val-Best: 66.3%
Ep 10/200 | Train Loss: 0.7420 | Val Loss: 0.9063 | Test Loss: 0.9063 | Train: 73.7% | Val: 68.7% | Test: 68.7% | Val-Avg10: 57.1% | Val-Best: 68.7%
Ep 11/200 | Train Loss: 0.7151 | Val Loss: 0.9367 | Test Loss: 0.9367 | Train: 74.8% | Val: 67.5% | Test: 67.5% | Val-Avg10: 60.6% | Val-Best: 68.7%
