============================================================
Training Configuration
============================================================
Dataset: spur_cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\spur_cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260218_161645.txt
WandB: enabled
============================================================

data_dir  ./data\spur_cifar10
Warning: Could not load spur_cifar10 as WILDS dataset, loading as standard CIFAR-10
Dataset: SPUR_CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/200 | Train Loss: 12.8199 | Val Loss: 0.7096 | Test Loss: 0.7096 | Train: 58.4% | Val: 75.5% | Test: 75.5% | Val-Avg10: 75.5% | Val-Best: 75.5%
Ep 2/200 | Train Loss: 0.8630 | Val Loss: 0.4889 | Test Loss: 0.4889 | Train: 79.5% | Val: 83.3% | Test: 83.3% | Val-Avg10: 79.4% | Val-Best: 83.3%
Ep 3/200 | Train Loss: 0.6817 | Val Loss: 0.4041 | Test Loss: 0.4041 | Train: 85.1% | Val: 86.4% | Test: 86.4% | Val-Avg10: 81.8% | Val-Best: 86.4%
Ep 4/200 | Train Loss: 0.5963 | Val Loss: 0.3405 | Test Loss: 0.3405 | Train: 88.0% | Val: 88.4% | Test: 88.4% | Val-Avg10: 83.4% | Val-Best: 88.4%
Ep 5/200 | Train Loss: 0.5458 | Val Loss: 0.3258 | Test Loss: 0.3258 | Train: 89.9% | Val: 89.2% | Test: 89.2% | Val-Avg10: 84.6% | Val-Best: 89.2%
Ep 6/200 | Train Loss: 0.5007 | Val Loss: 0.2959 | Test Loss: 0.2959 | Train: 91.4% | Val: 89.9% | Test: 89.9% | Val-Avg10: 85.5% | Val-Best: 89.9%
Ep 7/200 | Train Loss: 0.4701 | Val Loss: 0.2798 | Test Loss: 0.2798 | Train: 92.5% | Val: 90.9% | Test: 90.9% | Val-Avg10: 86.2% | Val-Best: 90.9%
Ep 8/200 | Train Loss: 0.4474 | Val Loss: 0.2672 | Test Loss: 0.2672 | Train: 93.4% | Val: 91.1% | Test: 91.1% | Val-Avg10: 86.8% | Val-Best: 91.1%
Ep 9/200 | Train Loss: 0.4243 | Val Loss: 0.2564 | Test Loss: 0.2564 | Train: 94.2% | Val: 91.3% | Test: 91.3% | Val-Avg10: 87.3% | Val-Best: 91.3%
Ep 10/200 | Train Loss: 0.4031 | Val Loss: 0.2500 | Test Loss: 0.2500 | Train: 94.8% | Val: 91.5% | Test: 91.5% | Val-Avg10: 87.8% | Val-Best: 91.5%
Ep 11/200 | Train Loss: 0.3893 | Val Loss: 0.2485 | Test Loss: 0.2485 | Train: 95.3% | Val: 91.9% | Test: 91.9% | Val-Avg10: 89.4% | Val-Best: 91.9%
Ep 12/200 | Train Loss: 0.3734 | Val Loss: 0.2394 | Test Loss: 0.2394 | Train: 95.8% | Val: 91.8% | Test: 91.8% | Val-Avg10: 90.2% | Val-Best: 91.9%
Ep 13/200 | Train Loss: 0.3600 | Val Loss: 0.2412 | Test Loss: 0.2412 | Train: 96.4% | Val: 92.1% | Test: 92.1% | Val-Avg10: 90.8% | Val-Best: 92.1%
Ep 14/200 | Train Loss: 0.3520 | Val Loss: 0.2453 | Test Loss: 0.2453 | Train: 96.6% | Val: 92.3% | Test: 92.3% | Val-Avg10: 91.2% | Val-Best: 92.3%
Ep 15/200 | Train Loss: 0.3421 | Val Loss: 0.2383 | Test Loss: 0.2383 | Train: 97.1% | Val: 92.5% | Test: 92.5% | Val-Avg10: 91.5% | Val-Best: 92.5%
Ep 16/200 | Train Loss: 0.3344 | Val Loss: 0.2448 | Test Loss: 0.2448 | Train: 97.3% | Val: 92.3% | Test: 92.3% | Val-Avg10: 91.8% | Val-Best: 92.5%
Ep 17/200 | Train Loss: 0.3305 | Val Loss: 0.2373 | Test Loss: 0.2373 | Train: 97.5% | Val: 92.5% | Test: 92.5% | Val-Avg10: 91.9% | Val-Best: 92.5%
Ep 18/200 | Train Loss: 0.3226 | Val Loss: 0.2260 | Test Loss: 0.2260 | Train: 97.7% | Val: 92.8% | Test: 92.8% | Val-Avg10: 92.1% | Val-Best: 92.8%
Ep 19/200 | Train Loss: 0.3183 | Val Loss: 0.2370 | Test Loss: 0.2370 | Train: 97.8% | Val: 93.1% | Test: 93.1% | Val-Avg10: 92.3% | Val-Best: 93.1%
Ep 20/200 | Train Loss: 0.3127 | Val Loss: 0.2620 | Test Loss: 0.2620 | Train: 98.1% | Val: 92.2% | Test: 92.2% | Val-Avg10: 92.3% | Val-Best: 93.1%
Ep 21/200 | Train Loss: 0.3079 | Val Loss: 0.2504 | Test Loss: 0.2504 | Train: 98.2% | Val: 92.7% | Test: 92.7% | Val-Avg10: 92.4% | Val-Best: 93.1%
