============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260202_101834.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/200 | Loss: 1.7133 | Test Loss: 1.4892 | Train: 35.9% | Test: 45.1% | Best: 45.1%
Ep 2/200 | Loss: 1.3861 | Test Loss: 1.2692 | Train: 49.4% | Test: 54.1% | Best: 54.1%
Ep 3/200 | Loss: 1.2149 | Test Loss: 1.1238 | Train: 56.0% | Test: 59.2% | Best: 59.2%
Ep 4/200 | Loss: 1.0739 | Test Loss: 1.0030 | Train: 61.5% | Test: 63.6% | Best: 63.6%
Ep 5/200 | Loss: 0.9715 | Test Loss: 0.9463 | Train: 65.3% | Test: 66.0% | Best: 66.0%
Ep 6/200 | Loss: 0.8971 | Test Loss: 0.8916 | Train: 68.2% | Test: 68.4% | Best: 68.4%
Ep 7/200 | Loss: 0.8240 | Test Loss: 0.8659 | Train: 70.7% | Test: 69.5% | Best: 69.5%
Ep 8/200 | Loss: 0.7612 | Test Loss: 0.7489 | Train: 73.0% | Test: 73.3% | Best: 73.3%
Ep 9/200 | Loss: 0.7095 | Test Loss: 0.7139 | Train: 74.9% | Test: 75.0% | Best: 75.0%
Ep 10/200 | Loss: 0.6647 | Test Loss: 0.6919 | Train: 76.7% | Test: 75.8% | Best: 75.8%
Ep 11/200 | Loss: 0.6244 | Test Loss: 0.6728 | Train: 78.0% | Test: 76.4% | Best: 76.4%
Ep 12/200 | Loss: 0.5841 | Test Loss: 0.6492 | Train: 79.6% | Test: 77.5% | Best: 77.5%
Ep 13/200 | Loss: 0.5519 | Test Loss: 0.6039 | Train: 80.7% | Test: 79.3% | Best: 79.3%
Ep 14/200 | Loss: 0.5254 | Test Loss: 0.6167 | Train: 81.7% | Test: 79.1% | Best: 79.3%
Ep 15/200 | Loss: 0.4988 | Test Loss: 0.5533 | Train: 82.8% | Test: 80.8% | Best: 80.8%
Ep 16/200 | Loss: 0.4732 | Test Loss: 0.5611 | Train: 83.5% | Test: 81.5% | Best: 81.5%
Ep 17/200 | Loss: 0.4501 | Test Loss: 0.5414 | Train: 84.3% | Test: 81.5% | Best: 81.5%
Ep 18/200 | Loss: 0.4305 | Test Loss: 0.5461 | Train: 85.0% | Test: 81.3% | Best: 81.5%
Ep 19/200 | Loss: 0.4141 | Test Loss: 0.5518 | Train: 85.6% | Test: 81.5% | Best: 81.5%
Ep 20/200 | Loss: 0.3963 | Test Loss: 0.5014 | Train: 86.2% | Test: 83.0% | Best: 83.0%
Ep 21/200 | Loss: 0.3801 | Test Loss: 0.5222 | Train: 86.8% | Test: 82.1% | Best: 83.0%
Ep 22/200 | Loss: 0.3598 | Test Loss: 0.4692 | Train: 87.5% | Test: 84.3% | Best: 84.3%
Ep 23/200 | Loss: 0.3468 | Test Loss: 0.5349 | Train: 88.0% | Test: 81.9% | Best: 84.3%
Ep 24/200 | Loss: 0.3319 | Test Loss: 0.4500 | Train: 88.5% | Test: 84.8% | Best: 84.8%
Ep 25/200 | Loss: 0.3216 | Test Loss: 0.4878 | Train: 88.6% | Test: 84.1% | Best: 84.8%
Ep 26/200 | Loss: 0.3070 | Test Loss: 0.4800 | Train: 89.3% | Test: 83.6% | Best: 84.8%
Ep 27/200 | Loss: 0.2990 | Test Loss: 0.4424 | Train: 89.8% | Test: 84.8% | Best: 84.8%
Ep 28/200 | Loss: 0.2834 | Test Loss: 0.4618 | Train: 90.1% | Test: 84.8% | Best: 84.8%
Ep 29/200 | Loss: 0.2748 | Test Loss: 0.4406 | Train: 90.4% | Test: 85.8% | Best: 85.8%
Ep 30/200 | Loss: 0.2616 | Test Loss: 0.4365 | Train: 90.8% | Test: 85.9% | Best: 85.9%
Ep 31/200 | Loss: 0.2515 | Test Loss: 0.4957 | Train: 91.3% | Test: 83.6% | Best: 85.9%
Ep 32/200 | Loss: 0.2429 | Test Loss: 0.4493 | Train: 91.5% | Test: 85.6% | Best: 85.9%
Ep 33/200 | Loss: 0.2363 | Test Loss: 0.4251 | Train: 91.8% | Test: 85.7% | Best: 85.9%
Ep 34/200 | Loss: 0.2231 | Test Loss: 0.4321 | Train: 92.1% | Test: 86.2% | Best: 86.2%
Ep 35/200 | Loss: 0.2172 | Test Loss: 0.4066 | Train: 92.4% | Test: 86.8% | Best: 86.8%
Ep 36/200 | Loss: 0.2129 | Test Loss: 0.4009 | Train: 92.5% | Test: 86.8% | Best: 86.8%
Ep 37/200 | Loss: 0.2034 | Test Loss: 0.4736 | Train: 92.9% | Test: 84.4% | Best: 86.8%
Ep 38/200 | Loss: 0.1970 | Test Loss: 0.4338 | Train: 93.1% | Test: 85.6% | Best: 86.8%
Ep 39/200 | Loss: 0.1938 | Test Loss: 0.4631 | Train: 93.3% | Test: 84.6% | Best: 86.8%
Ep 40/200 | Loss: 0.1860 | Test Loss: 0.4757 | Train: 93.6% | Test: 85.5% | Best: 86.8%
Ep 41/200 | Loss: 0.1791 | Test Loss: 0.4184 | Train: 93.8% | Test: 86.8% | Best: 86.8%
