============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260207_124445.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/200 | Loss: 2.0397 | Test Loss: 1.4848 | Train: 34.9% | Test: 44.9% | Avg10: 44.9% | Best: 44.9%
Ep 2/200 | Loss: 1.6711 | Test Loss: 1.3128 | Train: 47.8% | Test: 51.5% | Avg10: 48.2% | Best: 51.5%
Ep 3/200 | Loss: 1.5184 | Test Loss: 1.2259 | Train: 53.8% | Test: 56.0% | Avg10: 50.8% | Best: 56.0%
Ep 4/200 | Loss: 1.3946 | Test Loss: 1.1232 | Train: 58.5% | Test: 59.8% | Avg10: 53.1% | Best: 59.8%
Ep 5/200 | Loss: 1.2967 | Test Loss: 1.0357 | Train: 62.3% | Test: 63.0% | Avg10: 55.1% | Best: 63.0%
Ep 6/200 | Loss: 1.2200 | Test Loss: 0.9375 | Train: 65.2% | Test: 66.5% | Avg10: 57.0% | Best: 66.5%
Ep 7/200 | Loss: 1.1508 | Test Loss: 0.8750 | Train: 67.8% | Test: 68.6% | Avg10: 58.6% | Best: 68.6%
Ep 8/200 | Loss: 1.0968 | Test Loss: 0.8671 | Train: 69.8% | Test: 69.1% | Avg10: 59.9% | Best: 69.1%
Ep 9/200 | Loss: 1.0420 | Test Loss: 0.7894 | Train: 71.8% | Test: 72.3% | Avg10: 61.3% | Best: 72.3%
Ep 10/200 | Loss: 0.9955 | Test Loss: 0.7443 | Train: 73.4% | Test: 74.2% | Avg10: 62.6% | Best: 74.2%
Ep 11/200 | Loss: 0.9537 | Test Loss: 0.7502 | Train: 74.8% | Test: 74.1% | Avg10: 65.5% | Best: 74.2%
Ep 12/200 | Loss: 0.9151 | Test Loss: 0.7418 | Train: 76.3% | Test: 73.9% | Avg10: 67.7% | Best: 74.2%
Ep 13/200 | Loss: 0.8816 | Test Loss: 0.6889 | Train: 77.8% | Test: 76.5% | Avg10: 69.8% | Best: 76.5%
Ep 14/200 | Loss: 0.8479 | Test Loss: 0.6479 | Train: 79.0% | Test: 77.2% | Avg10: 71.5% | Best: 77.2%
Ep 15/200 | Loss: 0.8172 | Test Loss: 0.6631 | Train: 79.8% | Test: 77.3% | Avg10: 73.0% | Best: 77.3%
Ep 16/200 | Loss: 0.7900 | Test Loss: 0.6005 | Train: 81.0% | Test: 79.4% | Avg10: 74.2% | Best: 79.4%
