============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/200 | Loss: 1.2443 | Test Loss: 0.6398 | Train: 60.4% | Test: 77.8% | Avg10: 77.8% | Best: 0.0%
Ep 2/200 | Loss: 0.5338 | Test Loss: 0.3774 | Train: 82.7% | Test: 87.0% | Avg10: 82.4% | Best: 77.8%
Ep 3/200 | Loss: 0.3549 | Test Loss: 0.2867 | Train: 88.6% | Test: 90.0% | Avg10: 85.0% | Best: 87.0%
Ep 4/200 | Loss: 0.2688 | Test Loss: 0.2466 | Train: 91.5% | Test: 91.5% | Avg10: 86.6% | Best: 90.0%
Ep 5/200 | Loss: 0.2211 | Test Loss: 0.2241 | Train: 93.2% | Test: 92.6% | Avg10: 87.8% | Best: 91.5%
Ep 6/200 | Loss: 0.1834 | Test Loss: 0.2133 | Train: 94.4% | Test: 92.9% | Avg10: 88.7% | Best: 92.6%
Ep 7/200 | Loss: 0.1584 | Test Loss: 0.2068 | Train: 95.4% | Test: 93.2% | Avg10: 89.3% | Best: 92.9%
Ep 8/200 | Loss: 0.1397 | Test Loss: 0.2036 | Train: 96.0% | Test: 93.3% | Avg10: 89.8% | Best: 93.2%
Ep 9/200 | Loss: 0.1238 | Test Loss: 0.1937 | Train: 96.5% | Test: 93.8% | Avg10: 90.2% | Best: 93.3%
Ep 10/200 | Loss: 0.1104 | Test Loss: 0.1859 | Train: 96.9% | Test: 94.1% | Avg10: 90.6% | Best: 93.8%
Ep 11/200 | Loss: 0.1043 | Test Loss: 0.2001 | Train: 97.2% | Test: 93.6% | Avg10: 92.2% | Best: 94.1%
Ep 12/200 | Loss: 0.0916 | Test Loss: 0.2013 | Train: 97.6% | Test: 94.1% | Avg10: 92.9% | Best: 94.1%
Ep 13/200 | Loss: 0.0858 | Test Loss: 0.2072 | Train: 97.8% | Test: 93.8% | Avg10: 93.3% | Best: 94.1%
Ep 14/200 | Loss: 0.0829 | Test Loss: 0.1973 | Train: 97.9% | Test: 93.9% | Avg10: 93.5% | Best: 94.1%
Ep 15/200 | Loss: 0.0775 | Test Loss: 0.1954 | Train: 98.1% | Test: 94.4% | Avg10: 93.7% | Best: 94.1%
Ep 16/200 | Loss: 0.0726 | Test Loss: 0.1985 | Train: 98.3% | Test: 94.3% | Avg10: 93.8% | Best: 94.4%
Ep 17/200 | Loss: 0.0689 | Test Loss: 0.2038 | Train: 98.5% | Test: 94.3% | Avg10: 94.0% | Best: 94.4%
Ep 18/200 | Loss: 0.0666 | Test Loss: 0.2157 | Train: 98.5% | Test: 94.1% | Avg10: 94.0% | Best: 94.4%
Ep 19/200 | Loss: 0.0645 | Test Loss: 0.2110 | Train: 98.5% | Test: 94.1% | Avg10: 94.1% | Best: 94.4%
Ep 20/200 | Loss: 0.0628 | Test Loss: 0.2053 | Train: 98.7% | Test: 94.4% | Avg10: 94.1% | Best: 94.4%
Ep 21/200 | Loss: 0.0629 | Test Loss: 0.2348 | Train: 98.6% | Test: 93.9% | Avg10: 94.1% | Best: 94.4%
Ep 22/200 | Loss: 0.0599 | Test Loss: 0.2140 | Train: 98.8% | Test: 94.2% | Avg10: 94.1% | Best: 94.4%
Ep 23/200 | Loss: 0.0579 | Test Loss: 0.2058 | Train: 98.8% | Test: 94.5% | Avg10: 94.2% | Best: 94.4%
Ep 24/200 | Loss: 0.0581 | Test Loss: 0.2144 | Train: 98.8% | Test: 94.4% | Avg10: 94.3% | Best: 94.5%
Ep 25/200 | Loss: 0.0565 | Test Loss: 0.2340 | Train: 98.9% | Test: 93.9% | Avg10: 94.2% | Best: 94.5%
Ep 26/200 | Loss: 0.0560 | Test Loss: 0.2101 | Train: 98.9% | Test: 94.6% | Avg10: 94.2% | Best: 94.5%
Ep 27/200 | Loss: 0.0561 | Test Loss: 0.2065 | Train: 98.9% | Test: 94.5% | Avg10: 94.3% | Best: 94.6%
Ep 28/200 | Loss: 0.0551 | Test Loss: 0.2231 | Train: 98.9% | Test: 94.2% | Avg10: 94.3% | Best: 94.6%
Ep 29/200 | Loss: 0.0544 | Test Loss: 0.2141 | Train: 98.9% | Test: 94.6% | Avg10: 94.3% | Best: 94.6%
Ep 30/200 | Loss: 0.0524 | Test Loss: 0.2117 | Train: 99.0% | Test: 94.4% | Avg10: 94.3% | Best: 94.6%
Ep 31/200 | Loss: 0.0541 | Test Loss: 0.2091 | Train: 99.0% | Test: 94.7% | Avg10: 94.4% | Best: 94.6%
Ep 32/200 | Loss: 0.0524 | Test Loss: 0.2083 | Train: 99.1% | Test: 94.5% | Avg10: 94.4% | Best: 94.7%
Ep 33/200 | Loss: 0.0528 | Test Loss: 0.2111 | Train: 99.0% | Test: 94.4% | Avg10: 94.4% | Best: 94.7%
Ep 34/200 | Loss: 0.0525 | Test Loss: 0.2117 | Train: 99.1% | Test: 94.6% | Avg10: 94.4% | Best: 94.7%
Ep 35/200 | Loss: 0.0509 | Test Loss: 0.2147 | Train: 99.1% | Test: 94.7% | Avg10: 94.5% | Best: 94.7%
Ep 36/200 | Loss: 0.0516 | Test Loss: 0.2115 | Train: 99.1% | Test: 94.6% | Avg10: 94.5% | Best: 94.7%
Ep 37/200 | Loss: 0.0526 | Test Loss: 0.2040 | Train: 99.0% | Test: 94.7% | Avg10: 94.5% | Best: 94.7%
Ep 38/200 | Loss: 0.0509 | Test Loss: 0.2098 | Train: 99.1% | Test: 94.7% | Avg10: 94.6% | Best: 94.7%
Ep 39/200 | Loss: 0.0517 | Test Loss: 0.2222 | Train: 99.1% | Test: 94.5% | Avg10: 94.6% | Best: 94.7%
Ep 40/200 | Loss: 0.0501 | Test Loss: 0.2134 | Train: 99.1% | Test: 94.6% | Avg10: 94.6% | Best: 94.7%
Ep 41/200 | Loss: 0.0517 | Test Loss: 0.2141 | Train: 99.1% | Test: 94.6% | Avg10: 94.6% | Best: 94.7%
Ep 42/200 | Loss: 0.0536 | Test Loss: 0.2099 | Train: 99.0% | Test: 94.4% | Avg10: 94.6% | Best: 94.7%
Ep 43/200 | Loss: 0.0511 | Test Loss: 0.1984 | Train: 99.1% | Test: 94.7% | Avg10: 94.6% | Best: 94.7%
Ep 44/200 | Loss: 0.0528 | Test Loss: 0.2023 | Train: 99.1% | Test: 94.7% | Avg10: 94.6% | Best: 94.7%
Ep 45/200 | Loss: 0.0520 | Test Loss: 0.2101 | Train: 99.1% | Test: 94.5% | Avg10: 94.6% | Best: 94.7%
Ep 46/200 | Loss: 0.0520 | Test Loss: 0.2011 | Train: 99.1% | Test: 94.8% | Avg10: 94.6% | Best: 94.7%
Ep 47/200 | Loss: 0.0512 | Test Loss: 0.2102 | Train: 99.1% | Test: 94.4% | Avg10: 94.6% | Best: 94.8%
Ep 48/200 | Loss: 0.0522 | Test Loss: 0.2231 | Train: 99.1% | Test: 94.3% | Avg10: 94.5% | Best: 94.8%
Ep 49/200 | Loss: 0.0547 | Test Loss: 0.2113 | Train: 99.0% | Test: 94.3% | Avg10: 94.5% | Best: 94.8%
Ep 50/200 | Loss: 0.0532 | Test Loss: 0.2049 | Train: 99.0% | Test: 94.1% | Avg10: 94.5% | Best: 94.8%
Ep 51/200 | Loss: 0.0522 | Test Loss: 0.2245 | Train: 99.1% | Test: 94.0% | Avg10: 94.4% | Best: 94.8%
Ep 52/200 | Loss: 0.0528 | Test Loss: 0.2125 | Train: 99.1% | Test: 94.4% | Avg10: 94.4% | Best: 94.8%
Ep 53/200 | Loss: 0.0542 | Test Loss: 0.2105 | Train: 99.1% | Test: 94.2% | Avg10: 94.4% | Best: 94.8%
Ep 54/200 | Loss: 0.0543 | Test Loss: 0.2203 | Train: 99.1% | Test: 94.4% | Avg10: 94.3% | Best: 94.8%
