============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_mlp_h2048_e200_20260202_115607.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: MLP | Params: 12,244,042

Ep 1/200 | Loss: 1.7204 | Test Loss: 1.5734 | Train: 35.7% | Test: 42.9% | Best: 42.9%
Ep 2/200 | Loss: 1.3807 | Test Loss: 1.2969 | Train: 49.5% | Test: 53.5% | Best: 53.5%
Ep 3/200 | Loss: 1.2119 | Test Loss: 1.1460 | Train: 56.2% | Test: 59.3% | Best: 59.3%
Ep 4/200 | Loss: 1.0824 | Test Loss: 1.1043 | Train: 61.1% | Test: 60.8% | Best: 60.8%
Ep 5/200 | Loss: 0.9785 | Test Loss: 0.9853 | Train: 65.2% | Test: 65.7% | Best: 65.7%
Ep 6/200 | Loss: 0.8969 | Test Loss: 0.9142 | Train: 68.0% | Test: 67.6% | Best: 67.6%
Ep 7/200 | Loss: 0.8325 | Test Loss: 0.9043 | Train: 70.4% | Test: 68.3% | Best: 68.3%
Ep 8/200 | Loss: 0.7729 | Test Loss: 0.9083 | Train: 72.8% | Test: 67.9% | Best: 68.3%
Ep 9/200 | Loss: 0.7157 | Test Loss: 0.7499 | Train: 74.8% | Test: 73.5% | Best: 73.5%
Ep 10/200 | Loss: 0.6720 | Test Loss: 0.7300 | Train: 76.3% | Test: 74.6% | Best: 74.6%
Ep 11/200 | Loss: 0.6259 | Test Loss: 0.7439 | Train: 77.9% | Test: 74.5% | Best: 74.6%
Ep 12/200 | Loss: 0.5976 | Test Loss: 0.6524 | Train: 79.0% | Test: 77.3% | Best: 77.3%
Ep 13/200 | Loss: 0.5585 | Test Loss: 0.6202 | Train: 80.4% | Test: 78.3% | Best: 78.3%
Ep 14/200 | Loss: 0.5279 | Test Loss: 0.6051 | Train: 81.4% | Test: 78.8% | Best: 78.8%
Ep 15/200 | Loss: 0.5063 | Test Loss: 0.6146 | Train: 82.2% | Test: 79.0% | Best: 79.0%
Ep 16/200 | Loss: 0.4787 | Test Loss: 0.5438 | Train: 83.3% | Test: 81.5% | Best: 81.5%
Ep 17/200 | Loss: 0.4572 | Test Loss: 0.5409 | Train: 83.9% | Test: 81.7% | Best: 81.7%
Ep 18/200 | Loss: 0.4417 | Test Loss: 0.5351 | Train: 84.6% | Test: 81.3% | Best: 81.7%
Ep 19/200 | Loss: 0.4172 | Test Loss: 0.5279 | Train: 85.4% | Test: 81.9% | Best: 81.9%
Ep 20/200 | Loss: 0.4001 | Test Loss: 0.5258 | Train: 86.2% | Test: 82.2% | Best: 82.2%
Ep 21/200 | Loss: 0.3819 | Test Loss: 0.5291 | Train: 86.8% | Test: 81.9% | Best: 82.2%
Ep 22/200 | Loss: 0.3664 | Test Loss: 0.4992 | Train: 87.3% | Test: 83.2% | Best: 83.2%
Ep 23/200 | Loss: 0.3542 | Test Loss: 0.4728 | Train: 87.6% | Test: 83.8% | Best: 83.8%
Ep 24/200 | Loss: 0.3369 | Test Loss: 0.5057 | Train: 88.2% | Test: 83.2% | Best: 83.8%
Ep 25/200 | Loss: 0.3218 | Test Loss: 0.4745 | Train: 88.9% | Test: 84.2% | Best: 84.2%
Ep 26/200 | Loss: 0.3146 | Test Loss: 0.4966 | Train: 89.1% | Test: 83.2% | Best: 84.2%
Ep 27/200 | Loss: 0.3017 | Test Loss: 0.4573 | Train: 89.5% | Test: 84.7% | Best: 84.7%
Ep 28/200 | Loss: 0.2893 | Test Loss: 0.4673 | Train: 89.9% | Test: 84.2% | Best: 84.7%
Ep 29/200 | Loss: 0.2743 | Test Loss: 0.4557 | Train: 90.5% | Test: 84.4% | Best: 84.7%
Ep 30/200 | Loss: 0.2682 | Test Loss: 0.4680 | Train: 90.7% | Test: 84.6% | Best: 84.7%
Ep 31/200 | Loss: 0.2557 | Test Loss: 0.4862 | Train: 91.1% | Test: 84.1% | Best: 84.7%
Ep 32/200 | Loss: 0.2483 | Test Loss: 0.4588 | Train: 91.4% | Test: 84.9% | Best: 84.9%
Ep 33/200 | Loss: 0.2402 | Test Loss: 0.4211 | Train: 91.6% | Test: 86.2% | Best: 86.2%
Ep 34/200 | Loss: 0.2312 | Test Loss: 0.4562 | Train: 91.8% | Test: 84.8% | Best: 86.2%
Ep 35/200 | Loss: 0.2285 | Test Loss: 0.4370 | Train: 91.9% | Test: 85.4% | Best: 86.2%
Ep 36/200 | Loss: 0.2168 | Test Loss: 0.4704 | Train: 92.6% | Test: 84.8% | Best: 86.2%
Ep 37/200 | Loss: 0.2100 | Test Loss: 0.4352 | Train: 92.6% | Test: 85.7% | Best: 86.2%
Ep 38/200 | Loss: 0.1991 | Test Loss: 0.4359 | Train: 93.1% | Test: 85.9% | Best: 86.2%
Ep 39/200 | Loss: 0.1958 | Test Loss: 0.4344 | Train: 93.2% | Test: 86.5% | Best: 86.5%
Ep 40/200 | Loss: 0.1916 | Test Loss: 0.4114 | Train: 93.5% | Test: 86.7% | Best: 86.7%
Ep 41/200 | Loss: 0.1855 | Test Loss: 0.4796 | Train: 93.7% | Test: 85.2% | Best: 86.7%
