============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260202_132204.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Ep 1/200 | Loss: 0.3768 | Test Loss: 0.2478 | Train: 88.2% | Test: 91.8% | Best: 91.8%
Ep 2/200 | Loss: 0.0669 | Test Loss: 0.1210 | Train: 97.9% | Test: 96.1% | Best: 96.1%
Ep 3/200 | Loss: 0.0446 | Test Loss: 0.0987 | Train: 98.6% | Test: 96.7% | Best: 96.7%
Ep 4/200 | Loss: 0.0350 | Test Loss: 0.0674 | Train: 98.9% | Test: 98.0% | Best: 98.0%
Ep 5/200 | Loss: 0.0284 | Test Loss: 0.1235 | Train: 99.1% | Test: 96.0% | Best: 98.0%
Ep 6/200 | Loss: 0.0239 | Test Loss: 0.0687 | Train: 99.2% | Test: 97.9% | Best: 98.0%
Ep 7/200 | Loss: 0.0210 | Test Loss: 0.0753 | Train: 99.3% | Test: 97.7% | Best: 98.0%
Ep 8/200 | Loss: 0.0190 | Test Loss: 0.0682 | Train: 99.4% | Test: 97.8% | Best: 98.0%
Ep 9/200 | Loss: 0.0164 | Test Loss: 0.0614 | Train: 99.5% | Test: 98.0% | Best: 98.0%
Ep 10/200 | Loss: 0.0162 | Test Loss: 0.0488 | Train: 99.5% | Test: 98.5% | Best: 98.5%
Ep 11/200 | Loss: 0.0140 | Test Loss: 0.0388 | Train: 99.5% | Test: 98.8% | Best: 98.8%
Ep 12/200 | Loss: 0.0125 | Test Loss: 0.0522 | Train: 99.6% | Test: 98.3% | Best: 98.8%
Ep 13/200 | Loss: 0.0119 | Test Loss: 0.0501 | Train: 99.6% | Test: 98.5% | Best: 98.8%
Ep 14/200 | Loss: 0.0109 | Test Loss: 0.0318 | Train: 99.7% | Test: 99.0% | Best: 99.0%
Ep 15/200 | Loss: 0.0089 | Test Loss: 0.0862 | Train: 99.7% | Test: 97.4% | Best: 99.0%
Ep 16/200 | Loss: 0.0101 | Test Loss: 0.0461 | Train: 99.7% | Test: 98.4% | Best: 99.0%
Ep 17/200 | Loss: 0.0094 | Test Loss: 0.0409 | Train: 99.7% | Test: 98.7% | Best: 99.0%
Ep 18/200 | Loss: 0.0089 | Test Loss: 0.0422 | Train: 99.7% | Test: 98.8% | Best: 99.0%
Ep 19/200 | Loss: 0.0069 | Test Loss: 0.0452 | Train: 99.8% | Test: 98.6% | Best: 99.0%
Ep 20/200 | Loss: 0.0075 | Test Loss: 0.0340 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 21/200 | Loss: 0.0080 | Test Loss: 0.0435 | Train: 99.7% | Test: 98.6% | Best: 99.0%
Ep 22/200 | Loss: 0.0066 | Test Loss: 0.0380 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 23/200 | Loss: 0.0064 | Test Loss: 0.0362 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 24/200 | Loss: 0.0071 | Test Loss: 0.0389 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 25/200 | Loss: 0.0064 | Test Loss: 0.0372 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 26/200 | Loss: 0.0061 | Test Loss: 0.0418 | Train: 99.8% | Test: 98.8% | Best: 99.0%
Ep 27/200 | Loss: 0.0058 | Test Loss: 0.0552 | Train: 99.8% | Test: 98.3% | Best: 99.0%
Ep 28/200 | Loss: 0.0063 | Test Loss: 0.0316 | Train: 99.8% | Test: 99.0% | Best: 99.0%
Ep 29/200 | Loss: 0.0057 | Test Loss: 0.0347 | Train: 99.8% | Test: 98.9% | Best: 99.0%
