============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260210_064132.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.5895 | Test Loss: 0.0983 | Train: 95.4% | Test: 97.0% | Avg10: 97.0% | Best: 0.0% | WG: 92.6% | WG-Avg10: 92.6% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.2910 | Test Loss: 0.0555 | Train: 99.1% | Test: 98.3% | Avg10: 97.7% | Best: 97.0% | WG: 95.1% | WG-Avg10: 93.9% | WG-Best: 92.6%
Ep 3/200 | Loss: 0.2830 | Test Loss: 0.0522 | Train: 99.5% | Test: 98.3% | Avg10: 97.9% | Best: 98.3% | WG: 95.7% | WG-Avg10: 94.5% | WG-Best: 95.1%
Ep 4/200 | Loss: 0.2783 | Test Loss: 0.0439 | Train: 99.6% | Test: 98.8% | Avg10: 98.1% | Best: 98.3% | WG: 97.5% | WG-Avg10: 95.2% | WG-Best: 95.7%
Ep 5/200 | Loss: 0.2764 | Test Loss: 0.0459 | Train: 99.6% | Test: 98.5% | Avg10: 98.2% | Best: 98.8% | WG: 96.1% | WG-Avg10: 95.4% | WG-Best: 97.5%
Ep 6/200 | Loss: 0.2743 | Test Loss: 0.0510 | Train: 99.7% | Test: 98.5% | Avg10: 98.3% | Best: 98.8% | WG: 96.0% | WG-Avg10: 95.5% | WG-Best: 97.5%
Ep 7/200 | Loss: 0.2731 | Test Loss: 0.0495 | Train: 99.8% | Test: 98.5% | Avg10: 98.3% | Best: 98.8% | WG: 96.1% | WG-Avg10: 95.6% | WG-Best: 97.5%
Ep 8/200 | Loss: 0.2719 | Test Loss: 0.0383 | Train: 99.8% | Test: 98.9% | Avg10: 98.4% | Best: 98.8% | WG: 97.5% | WG-Avg10: 95.8% | WG-Best: 97.5%
Ep 9/200 | Loss: 0.2716 | Test Loss: 0.0478 | Train: 99.8% | Test: 98.6% | Avg10: 98.4% | Best: 98.9% | WG: 97.1% | WG-Avg10: 96.0% | WG-Best: 97.5%
Ep 10/200 | Loss: 0.2712 | Test Loss: 0.0435 | Train: 99.8% | Test: 98.7% | Avg10: 98.4% | Best: 98.9% | WG: 96.9% | WG-Avg10: 96.1% | WG-Best: 97.5%
Ep 11/200 | Loss: 0.2708 | Test Loss: 0.0391 | Train: 99.9% | Test: 98.9% | Avg10: 98.6% | Best: 98.9% | WG: 97.7% | WG-Avg10: 96.6% | WG-Best: 97.5%
