============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_mlp_h2048_e200_20260202_172005.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: MLP | Params: 12,244,042

Ep 1/200 | Loss: 0.3871 | Test Loss: 0.2229 | Train: 88.1% | Test: 92.3% | Best: 92.3%
Ep 2/200 | Loss: 0.0652 | Test Loss: 0.2158 | Train: 98.0% | Test: 92.9% | Best: 92.9%
Ep 3/200 | Loss: 0.0446 | Test Loss: 0.1368 | Train: 98.6% | Test: 95.5% | Best: 95.5%
Ep 4/200 | Loss: 0.0329 | Test Loss: 0.0826 | Train: 99.0% | Test: 97.3% | Best: 97.3%
Ep 5/200 | Loss: 0.0269 | Test Loss: 0.0553 | Train: 99.1% | Test: 98.2% | Best: 98.2%
Ep 6/200 | Loss: 0.0245 | Test Loss: 0.0439 | Train: 99.2% | Test: 98.6% | Best: 98.6%
Ep 7/200 | Loss: 0.0192 | Test Loss: 0.0482 | Train: 99.4% | Test: 98.5% | Best: 98.6%
Ep 8/200 | Loss: 0.0182 | Test Loss: 0.0475 | Train: 99.4% | Test: 98.5% | Best: 98.6%
Ep 9/200 | Loss: 0.0162 | Test Loss: 0.0517 | Train: 99.5% | Test: 98.5% | Best: 98.6%
Ep 10/200 | Loss: 0.0140 | Test Loss: 0.0517 | Train: 99.6% | Test: 98.4% | Best: 98.6%
Ep 11/200 | Loss: 0.0135 | Test Loss: 0.0427 | Train: 99.6% | Test: 98.6% | Best: 98.6%
Ep 12/200 | Loss: 0.0129 | Test Loss: 0.0632 | Train: 99.6% | Test: 98.1% | Best: 98.6%
Ep 13/200 | Loss: 0.0113 | Test Loss: 0.0491 | Train: 99.7% | Test: 98.4% | Best: 98.6%
Ep 14/200 | Loss: 0.0113 | Test Loss: 0.0602 | Train: 99.6% | Test: 98.3% | Best: 98.6%
Ep 15/200 | Loss: 0.0103 | Test Loss: 0.0590 | Train: 99.7% | Test: 98.1% | Best: 98.6%
Ep 16/200 | Loss: 0.0085 | Test Loss: 0.0397 | Train: 99.7% | Test: 98.6% | Best: 98.6%
Ep 17/200 | Loss: 0.0087 | Test Loss: 0.0351 | Train: 99.7% | Test: 98.9% | Best: 98.9%
Ep 18/200 | Loss: 0.0082 | Test Loss: 0.0361 | Train: 99.7% | Test: 98.9% | Best: 98.9%
Ep 19/200 | Loss: 0.0081 | Test Loss: 0.0365 | Train: 99.8% | Test: 98.9% | Best: 98.9%
Ep 20/200 | Loss: 0.0073 | Test Loss: 0.0453 | Train: 99.8% | Test: 98.6% | Best: 98.9%
Ep 21/200 | Loss: 0.0077 | Test Loss: 0.0410 | Train: 99.7% | Test: 98.7% | Best: 98.9%
Ep 22/200 | Loss: 0.0064 | Test Loss: 0.0422 | Train: 99.8% | Test: 98.7% | Best: 98.9%
