============================================================
Training Configuration
============================================================
Dataset: metashift
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_kan_h2048_e200_20260203_165938.txt
============================================================

Dataset: METASHIFT | Device: cuda | Model: KAN | Params: 21,700,672

Ep 1/200 | Loss: 0.6955 | Test Loss: 0.6650 | Train: 54.7% | Test: 59.6% | Best: 59.6%
Ep 2/200 | Loss: 0.6707 | Test Loss: 0.6610 | Train: 59.3% | Test: 59.2% | Best: 59.6%
Ep 3/200 | Loss: 0.6555 | Test Loss: 0.6333 | Train: 61.2% | Test: 63.1% | Best: 63.1%
Ep 4/200 | Loss: 0.6540 | Test Loss: 0.6298 | Train: 62.5% | Test: 64.2% | Best: 64.2%
Ep 5/200 | Loss: 0.6299 | Test Loss: 0.6352 | Train: 64.4% | Test: 64.0% | Best: 64.2%
Ep 6/200 | Loss: 0.6142 | Test Loss: 0.6087 | Train: 66.3% | Test: 67.0% | Best: 67.0%
Ep 7/200 | Loss: 0.6025 | Test Loss: 0.6039 | Train: 67.4% | Test: 67.5% | Best: 67.5%
Ep 8/200 | Loss: 0.5846 | Test Loss: 0.6098 | Train: 68.3% | Test: 68.4% | Best: 68.4%
Ep 9/200 | Loss: 0.5712 | Test Loss: 0.6719 | Train: 69.9% | Test: 65.0% | Best: 68.4%
Ep 10/200 | Loss: 0.5612 | Test Loss: 0.5784 | Train: 70.5% | Test: 70.0% | Best: 70.0%
Ep 11/200 | Loss: 0.5431 | Test Loss: 0.5761 | Train: 72.0% | Test: 71.9% | Best: 71.9%
Ep 12/200 | Loss: 0.5303 | Test Loss: 0.5748 | Train: 72.5% | Test: 72.6% | Best: 72.6%
Ep 13/200 | Loss: 0.5243 | Test Loss: 0.5320 | Train: 73.7% | Test: 73.8% | Best: 73.8%
Ep 14/200 | Loss: 0.5133 | Test Loss: 0.5478 | Train: 74.1% | Test: 73.1% | Best: 73.8%
Ep 15/200 | Loss: 0.4870 | Test Loss: 0.5378 | Train: 75.7% | Test: 73.0% | Best: 73.8%
Ep 16/200 | Loss: 0.4853 | Test Loss: 0.5603 | Train: 76.4% | Test: 72.7% | Best: 73.8%
Ep 17/200 | Loss: 0.4797 | Test Loss: 0.5060 | Train: 76.5% | Test: 74.8% | Best: 74.8%
Ep 18/200 | Loss: 0.4675 | Test Loss: 0.4927 | Train: 77.2% | Test: 77.1% | Best: 77.1%
Ep 19/200 | Loss: 0.4518 | Test Loss: 0.5206 | Train: 78.0% | Test: 76.3% | Best: 77.1%
Ep 20/200 | Loss: 0.4394 | Test Loss: 0.4981 | Train: 78.6% | Test: 75.5% | Best: 77.1%
Ep 21/200 | Loss: 0.4421 | Test Loss: 0.4712 | Train: 78.8% | Test: 77.7% | Best: 77.7%
Ep 22/200 | Loss: 0.4314 | Test Loss: 0.4666 | Train: 79.5% | Test: 77.8% | Best: 77.8%
Ep 23/200 | Loss: 0.4168 | Test Loss: 0.4531 | Train: 80.2% | Test: 78.3% | Best: 78.3%
Ep 24/200 | Loss: 0.4089 | Test Loss: 0.4662 | Train: 80.8% | Test: 77.6% | Best: 78.3%
Ep 25/200 | Loss: 0.4044 | Test Loss: 0.4840 | Train: 80.8% | Test: 77.5% | Best: 78.3%
