============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 1/200 | Loss: 0.6971 | Test Loss: 0.6635 | Train: 55.2% | Test: 58.7% | Best: 58.7%
Ep 2/200 | Loss: 0.6762 | Test Loss: 0.6490 | Train: 59.0% | Test: 62.4% | Best: 62.4%
Ep 3/200 | Loss: 0.6666 | Test Loss: 0.6859 | Train: 60.1% | Test: 58.3% | Best: 62.4%
Ep 4/200 | Loss: 0.6572 | Test Loss: 0.7447 | Train: 61.6% | Test: 58.6% | Best: 62.4%
Ep 5/200 | Loss: 0.6499 | Test Loss: 0.6243 | Train: 62.9% | Test: 66.7% | Best: 66.7%
Ep 6/200 | Loss: 0.6351 | Test Loss: 0.6399 | Train: 64.2% | Test: 66.4% | Best: 66.7%
Ep 7/200 | Loss: 0.6157 | Test Loss: 0.5961 | Train: 67.1% | Test: 67.9% | Best: 67.9%
Ep 8/200 | Loss: 0.5968 | Test Loss: 0.5820 | Train: 67.5% | Test: 69.7% | Best: 69.7%
Ep 9/200 | Loss: 0.5807 | Test Loss: 0.6166 | Train: 69.7% | Test: 69.0% | Best: 69.7%
Ep 10/200 | Loss: 0.5660 | Test Loss: 0.6659 | Train: 70.4% | Test: 65.8% | Best: 69.7%
Ep 11/200 | Loss: 0.5552 | Test Loss: 0.6289 | Train: 71.0% | Test: 68.5% | Best: 69.7%
Ep 12/200 | Loss: 0.5396 | Test Loss: 0.8299 | Train: 71.9% | Test: 65.1% | Best: 69.7%
Ep 13/200 | Loss: 0.5308 | Test Loss: 0.5369 | Train: 73.3% | Test: 73.8% | Best: 73.8%
Ep 14/200 | Loss: 0.5108 | Test Loss: 0.5245 | Train: 74.4% | Test: 72.5% | Best: 73.8%
Ep 15/200 | Loss: 0.4910 | Test Loss: 0.5040 | Train: 75.6% | Test: 73.3% | Best: 73.8%
Ep 16/200 | Loss: 0.4832 | Test Loss: 0.5341 | Train: 75.9% | Test: 74.7% | Best: 74.7%
Ep 17/200 | Loss: 0.4808 | Test Loss: 0.5721 | Train: 76.5% | Test: 73.2% | Best: 74.7%
Ep 18/200 | Loss: 0.4592 | Test Loss: 0.5309 | Train: 77.4% | Test: 74.0% | Best: 74.7%
Ep 19/200 | Loss: 0.4493 | Test Loss: 0.6039 | Train: 78.8% | Test: 73.2% | Best: 74.7%
Ep 20/200 | Loss: 0.4508 | Test Loss: 0.5201 | Train: 78.1% | Test: 75.6% | Best: 75.6%
Ep 21/200 | Loss: 0.4414 | Test Loss: 0.4763 | Train: 79.0% | Test: 77.8% | Best: 77.8%
Ep 22/200 | Loss: 0.4252 | Test Loss: 0.4869 | Train: 79.2% | Test: 77.3% | Best: 77.8%
Ep 23/200 | Loss: 0.4170 | Test Loss: 0.7621 | Train: 80.6% | Test: 69.7% | Best: 77.8%
Ep 24/200 | Loss: 0.4184 | Test Loss: 0.4526 | Train: 79.9% | Test: 78.1% | Best: 78.1%
