============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260207_224459.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.9722 | Test Loss: 0.9014 | Train: 81.9% | Test: 55.1% | Avg10: 55.1% | Best: 0.0% | WG: 21.8% | WG-Avg10: 21.8% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.5612 | Test Loss: 0.8391 | Train: 87.7% | Test: 64.2% | Avg10: 59.6% | Best: 55.1% | WG: 8.1% | WG-Avg10: 15.0% | WG-Best: 21.8%
Ep 3/200 | Loss: 0.5462 | Test Loss: 0.8903 | Train: 88.0% | Test: 59.2% | Avg10: 59.5% | Best: 64.2% | WG: 12.3% | WG-Avg10: 14.1% | WG-Best: 21.8%
Ep 4/200 | Loss: 0.5263 | Test Loss: 0.9407 | Train: 88.9% | Test: 58.5% | Avg10: 59.2% | Best: 64.2% | WG: 13.2% | WG-Avg10: 13.9% | WG-Best: 21.8%
Ep 5/200 | Loss: 0.5317 | Test Loss: 0.7937 | Train: 88.6% | Test: 64.4% | Avg10: 60.3% | Best: 64.2% | WG: 6.1% | WG-Avg10: 12.3% | WG-Best: 21.8%
Ep 6/200 | Loss: 0.5210 | Test Loss: 0.9319 | Train: 89.3% | Test: 60.7% | Avg10: 60.3% | Best: 64.4% | WG: 10.6% | WG-Avg10: 12.0% | WG-Best: 21.8%
Ep 7/200 | Loss: 0.5197 | Test Loss: 1.0517 | Train: 89.5% | Test: 53.6% | Avg10: 59.4% | Best: 64.4% | WG: 15.7% | WG-Avg10: 12.5% | WG-Best: 21.8%
Ep 8/200 | Loss: 0.5121 | Test Loss: 0.8626 | Train: 89.6% | Test: 60.8% | Avg10: 59.6% | Best: 64.4% | WG: 10.6% | WG-Avg10: 12.3% | WG-Best: 21.8%
Ep 9/200 | Loss: 0.5045 | Test Loss: 1.2424 | Train: 90.3% | Test: 56.2% | Avg10: 59.2% | Best: 64.4% | WG: 19.3% | WG-Avg10: 13.1% | WG-Best: 21.8%
Ep 10/200 | Loss: 0.5046 | Test Loss: 0.9292 | Train: 90.1% | Test: 60.6% | Avg10: 59.3% | Best: 64.4% | WG: 11.8% | WG-Avg10: 13.0% | WG-Best: 21.8%
Ep 11/200 | Loss: 0.4950 | Test Loss: 0.8520 | Train: 90.8% | Test: 62.4% | Avg10: 60.1% | Best: 64.4% | WG: 10.4% | WG-Avg10: 11.8% | WG-Best: 21.8%
