============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260208_100458.txt
============================================================

Downloading: "https://download.pytorch.org/models/resnet18-f37072fd.pth" to C:\Users\GrGrie/.cache\torch\hub\checkpoints\resnet18-f37072fd.pth
Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 3.2549 | Test Loss: 0.5176 | Train: 88.2% | Test: 78.3% | Avg10: 78.3% | Best: 0.0% | WG: 33.5% | WG-Avg10: 33.5% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.4580 | Test Loss: 0.4284 | Train: 96.4% | Test: 82.4% | Avg10: 80.3% | Best: 78.3% | WG: 46.7% | WG-Avg10: 40.1% | WG-Best: 33.5%
Ep 3/200 | Loss: 0.3424 | Test Loss: 0.3892 | Train: 97.1% | Test: 84.9% | Avg10: 81.9% | Best: 82.4% | WG: 44.2% | WG-Avg10: 41.5% | WG-Best: 46.7%
Ep 4/200 | Loss: 0.3190 | Test Loss: 0.4111 | Train: 98.1% | Test: 84.4% | Avg10: 82.5% | Best: 84.9% | WG: 56.1% | WG-Avg10: 45.1% | WG-Best: 46.7%
Ep 5/200 | Loss: 0.3048 | Test Loss: 0.3758 | Train: 98.5% | Test: 86.5% | Avg10: 83.3% | Best: 84.9% | WG: 53.7% | WG-Avg10: 46.9% | WG-Best: 56.1%
Ep 6/200 | Loss: 0.2979 | Test Loss: 0.3862 | Train: 98.6% | Test: 86.3% | Avg10: 83.8% | Best: 86.5% | WG: 59.5% | WG-Avg10: 49.0% | WG-Best: 56.1%
Ep 7/200 | Loss: 0.2890 | Test Loss: 0.4207 | Train: 99.0% | Test: 85.7% | Avg10: 84.1% | Best: 86.5% | WG: 60.1% | WG-Avg10: 50.6% | WG-Best: 59.5%
Ep 8/200 | Loss: 0.2820 | Test Loss: 0.4182 | Train: 99.5% | Test: 86.1% | Avg10: 84.3% | Best: 86.5% | WG: 58.9% | WG-Avg10: 51.6% | WG-Best: 60.1%
Ep 9/200 | Loss: 0.2744 | Test Loss: 0.4484 | Train: 99.6% | Test: 85.8% | Avg10: 84.5% | Best: 86.5% | WG: 58.1% | WG-Avg10: 52.3% | WG-Best: 60.1%
Ep 10/200 | Loss: 0.2754 | Test Loss: 0.4322 | Train: 99.6% | Test: 86.5% | Avg10: 84.7% | Best: 86.5% | WG: 60.0% | WG-Avg10: 53.1% | WG-Best: 60.1%
Ep 11/200 | Loss: 0.2739 | Test Loss: 0.4789 | Train: 99.7% | Test: 85.3% | Avg10: 85.4% | Best: 86.5% | WG: 61.1% | WG-Avg10: 55.8% | WG-Best: 60.1%
Ep 12/200 | Loss: 0.2764 | Test Loss: 0.4642 | Train: 99.4% | Test: 86.2% | Avg10: 85.8% | Best: 86.5% | WG: 61.8% | WG-Avg10: 57.4% | WG-Best: 61.1%
Ep 13/200 | Loss: 0.2705 | Test Loss: 0.4584 | Train: 99.7% | Test: 86.5% | Avg10: 85.9% | Best: 86.5% | WG: 63.2% | WG-Avg10: 59.3% | WG-Best: 61.8%
Ep 14/200 | Loss: 0.2697 | Test Loss: 0.4646 | Train: 99.7% | Test: 86.7% | Avg10: 86.2% | Best: 86.5% | WG: 61.5% | WG-Avg10: 59.8% | WG-Best: 63.2%
Ep 15/200 | Loss: 0.2711 | Test Loss: 0.4651 | Train: 99.7% | Test: 86.8% | Avg10: 86.2% | Best: 86.7% | WG: 62.9% | WG-Avg10: 60.7% | WG-Best: 63.2%
Ep 16/200 | Loss: 0.2677 | Test Loss: 0.4772 | Train: 99.8% | Test: 86.5% | Avg10: 86.2% | Best: 86.8% | WG: 62.5% | WG-Avg10: 61.0% | WG-Best: 63.2%
Ep 17/200 | Loss: 0.2700 | Test Loss: 0.4485 | Train: 99.9% | Test: 87.3% | Avg10: 86.4% | Best: 86.8% | WG: 59.7% | WG-Avg10: 61.0% | WG-Best: 63.2%
