============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260213_153818.txt
WandB: enabled
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.6078 | Test Loss: 0.5335 | Train: 89.0% | Test: 81.1% | Avg10: 81.1% | Best: 81.1% | WG: 56.1% | WG-Avg10: 56.1% | WG-Best: 56.1%
Ep 2/200 | Loss: 0.1284 | Test Loss: 0.4411 | Train: 96.9% | Test: 83.7% | Avg10: 82.4% | Best: 83.7% | WG: 54.0% | WG-Avg10: 55.1% | WG-Best: 56.1%
Ep 3/200 | Loss: 0.0787 | Test Loss: 0.3853 | Train: 98.2% | Test: 87.3% | Avg10: 84.0% | Best: 87.3% | WG: 44.2% | WG-Avg10: 51.5% | WG-Best: 56.1%
Ep 4/200 | Loss: 0.0601 | Test Loss: 0.4818 | Train: 98.8% | Test: 84.4% | Avg10: 84.1% | Best: 87.3% | WG: 64.8% | WG-Avg10: 54.8% | WG-Best: 64.8%
Ep 5/200 | Loss: 0.0488 | Test Loss: 0.4368 | Train: 99.3% | Test: 87.7% | Avg10: 84.8% | Best: 87.7% | WG: 53.7% | WG-Avg10: 54.6% | WG-Best: 64.8%
Ep 6/200 | Loss: 0.0435 | Test Loss: 0.4351 | Train: 99.3% | Test: 87.4% | Avg10: 85.3% | Best: 87.7% | WG: 70.4% | WG-Avg10: 57.2% | WG-Best: 70.4%
Ep 7/200 | Loss: 0.0352 | Test Loss: 0.4853 | Train: 99.7% | Test: 87.5% | Avg10: 85.6% | Best: 87.7% | WG: 61.1% | WG-Avg10: 57.8% | WG-Best: 70.4%
Ep 8/200 | Loss: 0.0326 | Test Loss: 0.4809 | Train: 99.8% | Test: 87.8% | Avg10: 85.9% | Best: 87.8% | WG: 61.7% | WG-Avg10: 58.3% | WG-Best: 70.4%
Ep 9/200 | Loss: 0.0293 | Test Loss: 0.5515 | Train: 99.9% | Test: 86.5% | Avg10: 85.9% | Best: 87.8% | WG: 60.9% | WG-Avg10: 58.5% | WG-Best: 70.4%
Ep 10/200 | Loss: 0.0307 | Test Loss: 0.5550 | Train: 99.8% | Test: 86.5% | Avg10: 86.0% | Best: 87.8% | WG: 60.3% | WG-Avg10: 58.7% | WG-Best: 70.4%
Ep 11/200 | Loss: 0.0327 | Test Loss: 0.7203 | Train: 99.7% | Test: 84.2% | Avg10: 86.3% | Best: 87.8% | WG: 63.9% | WG-Avg10: 59.5% | WG-Best: 70.4%
