============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_mlp_h2048_e200_20260208_165430.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: MLP | Params: 12,235,330

Group tracking enabled: 4 groups

Ep 1/200 | Loss: 0.2047 | Test Loss: 0.4195 | Train: 91.1% | Test: 83.7% | Avg10: 83.7% | Best: 0.0% | WG: 49.2% | WG-Avg10: 49.2% | WG-Best: 0.0%
Ep 2/200 | Loss: 0.0870 | Test Loss: 0.4275 | Train: 97.1% | Test: 83.9% | Avg10: 83.8% | Best: 83.7% | WG: 56.5% | WG-Avg10: 52.9% | WG-Best: 49.2%
Ep 3/200 | Loss: 0.0540 | Test Loss: 0.4944 | Train: 97.8% | Test: 83.1% | Avg10: 83.6% | Best: 83.9% | WG: 50.6% | WG-Avg10: 52.1% | WG-Best: 56.5%
Ep 4/200 | Loss: 0.0378 | Test Loss: 0.4256 | Train: 98.8% | Test: 86.5% | Avg10: 84.3% | Best: 83.9% | WG: 54.0% | WG-Avg10: 52.6% | WG-Best: 56.5%
Ep 5/200 | Loss: 0.0264 | Test Loss: 0.4412 | Train: 99.0% | Test: 87.3% | Avg10: 84.9% | Best: 86.5% | WG: 60.9% | WG-Avg10: 54.3% | WG-Best: 56.5%
Ep 6/200 | Loss: 0.0170 | Test Loss: 0.4970 | Train: 99.5% | Test: 86.6% | Avg10: 85.2% | Best: 87.3% | WG: 54.0% | WG-Avg10: 54.2% | WG-Best: 60.9%
Ep 7/200 | Loss: 0.0135 | Test Loss: 0.4608 | Train: 99.6% | Test: 87.8% | Avg10: 85.6% | Best: 87.3% | WG: 55.0% | WG-Avg10: 54.3% | WG-Best: 60.9%
Ep 8/200 | Loss: 0.0125 | Test Loss: 0.5331 | Train: 99.6% | Test: 86.0% | Avg10: 85.6% | Best: 87.8% | WG: 62.3% | WG-Avg10: 55.3% | WG-Best: 60.9%
Ep 9/200 | Loss: 0.0074 | Test Loss: 0.4671 | Train: 99.8% | Test: 88.8% | Avg10: 86.0% | Best: 87.8% | WG: 55.0% | WG-Avg10: 55.3% | WG-Best: 62.3%
Ep 10/200 | Loss: 0.0074 | Test Loss: 0.6502 | Train: 99.8% | Test: 84.2% | Avg10: 85.8% | Best: 88.8% | WG: 66.0% | WG-Avg10: 56.4% | WG-Best: 62.3%
Ep 11/200 | Loss: 0.0078 | Test Loss: 0.4755 | Train: 99.8% | Test: 88.2% | Avg10: 86.2% | Best: 88.8% | WG: 61.5% | WG-Avg10: 57.6% | WG-Best: 66.0%
