Dataset     | Head | Epochs | LR    | #Params (M) | Best Test Acc (%) | Notes
------------|------|--------|-------|-------------|-------------------|------------------------------
CIFAR-10    | KAN  | 100    | 0.001 | 21.86       | ~63.4             | Slow convergence, low LR
CIFAR-10    | MLP  | 100    | 0.001 | 12.24       | ~63.8             | Same
------------|------|--------|-------|-------------|-------------------|------------------------------
CIFAR-10    | KAN  | 200    | 0.01  | 21.86       | ~87.2             | Smooth learning
CIFAR-10    | MLP  | 200    | 0.01  | 12.24       | ~87.5             | Slightly higher peak
------------|------|--------|-------|-------------|-------------------|------------------------------
CMNIST      | KAN  | 200    | 0.01  | 21.86       | ~99.2             | Near-perfect, shortcut task
CMNIST      | MLP  | 200    | 0.01  | 12.24       | ~99.2             | Same
------------|------|--------|-------|-------------|-------------------|------------------------------
MetaShift   | KAN  | 200    | 0.01  | 21.70       | ~82.3             | More stable under shift
MetaShift   | MLP  | 200    | 0.01  | 12.23       | ~83.0             | Higher peak, more volatile
